Month,Total
Jul-01,4.6
Aug-01,4.9
Sep-01,5
Oct-01,5.3
Nov-01,5.5
Dec-01,5.7
Jan-02,5.7
Feb-02,5.7
Mar-02,5.7
Apr-02,5.9
May-02,5.8
Jun-02,5.8
Jul-02,5.8
Aug-02,5.7
Sep-02,5.7
Oct-02,5.7
Nov-02,5.9
Dec-02,6
Jan-03,5.8
Feb-03,5.9
Mar-03,5.9
Apr-03,6
May-03,6.1
Jun-03,6.3
Jul-03,6.2
Aug-03,6.1
Sep-03,6.1
Oct-03,6
Nov-03,5.8
Dec-03,5.7
Jan-04,5.7
Feb-04,5.6
Mar-04,5.8
Apr-04,5.6
May-04,5.6
Jun-04,5.6
Jul-04,5.5
Aug-04,5.4
Sep-04,5.4
Oct-04,5.5
Nov-04,5.4
Dec-04,5.4
Jan-05,5.3
Feb-05,5.4
Mar-05,5.2
Apr-05,5.2
May-05,5.1
Jun-05,5
Jul-05,5
Aug-05,4.9
Sep-05,5
Oct-05,5
Nov-05,5
Dec-05,4.9
Jan-06,4.7
Feb-06,4.8
Mar-06,4.7
Apr-06,4.7
May-06,4.6
Jun-06,4.6
Jul-06,4.7
Aug-06,4.7
Sep-06,4.5
Oct-06,4.4
Nov-06,4.5
Dec-06,4.4
Jan-07,4.6
Feb-07,4.5
Mar-07,4.4
Apr-07,4.5
May-07,4.4
Jun-07,4.6
Jul-07,4.7
Aug-07,4.6
Sep-07,4.7
Oct-07,4.7
Nov-07,4.7
Dec-07,5
Jan-08,5
Feb-08,4.9
Mar-08,5.1
Apr-08,5
May-08,5.4
Jun-08,5.6
Jul-08,5.8
Aug-08,6.1
Sep-08,6.1
Oct-08,6.5
Nov-08,6.8
Dec-08,7.3
Jan-09,7.8
Feb-09,8.3
Mar-09,8.7
Apr-09,9
May-09,9.4
Jun-09,9.5
Jul-09,9.5
Aug-09,9.6
Sep-09,9.8
Oct-09,10
Nov-09,9.9
Dec-09,9.9
Jan-10,9.8
Feb-10,9.8
Mar-10,9.9
Apr-10,9.9
May-10,9.6
Jun-10,9.4
Jul-10,9.4
Aug-10,9.5
Sep-10,9.5
Oct-10,9.4
Nov-10,9.8
Dec-10,9.3
Jan-11,9.1
Feb-11,9
Mar-11,9
Apr-11,9.1
May-11,9
Jun-11,9.1
Jul-11,9
Aug-11,9
Sep-11,9
Oct-11,8.8
Nov-11,8.6
Dec-11,8.5
Jan-12,8.3
Feb-12,8.3
Mar-12,8.2
Apr-12,8.2
May-12,8.2
Jun-12,8.2
Jul-12,8.2
Aug-12,8.1
Sep-12,7.8
Oct-12,7.8
Nov-12,7.7
Dec-12,7.9
Jan-13,8
Feb-13,7.7
Mar-13,7.5
Apr-13,7.6
May-13,7.5
Jun-13,7.5
Jul-13,7.3
Aug-13,7.2
Sep-13,7.2
Oct-13,7.2
Nov-13,6.9
Dec-13,6.7
Jan-14,6.6
Feb-14,6.7
Mar-14,6.7
Apr-14,6.2
May-14,6.3
Jun-14,6.1
Jul-14,6.2
Aug-14,6.1
Sep-14,5.9
Oct-14,5.7
Nov-14,5.8
Dec-14,5.6
Jan-15,5.7
Feb-15,5.5
Mar-15,5.4
Apr-15,5.4
May-15,5.6
Jun-15,5.3
Jul-15,5.2
Aug-15,5.1
Sep-15,5
Oct-15,5
Nov-15,5.1
Dec-15,5
Jan-16,4.8
Feb-16,4.9
Mar-16,5
Apr-16,5.1
May-16,4.8
Jun-16,4.9
Jul-16,4.8
Aug-16,4.9
Sep-16,5
Oct-16,4.9
Nov-16,4.7
Dec-16,4.7
Jan-17,4.7
Feb-17,4.6
Mar-17,4.4
Apr-17,4.5
May-17,4.4
Jun-17,4.3
Jul-17,4.3
Aug-17,4.4
Sep-17,4.2
Oct-17,4.1
Nov-17,4.2
Dec-17,4.1
Jan-18,4
Feb-18,4.1
Mar-18,4
Apr-18,4
May-18,3.8
Jun-18,4
Jul-18,3.8
Aug-18,3.8
Sep-18,3.7
Oct-18,3.8
Nov-18,3.8
Dec-18,3.9
Jan-19,4
Feb-19,3.8
Mar-19,3.8
Apr-19,3.7
May-19,3.7
Jun-19,3.6
Jul-19,3.6
Aug-19,3.7
Sep-19,3.5
Oct-19,3.6
Nov-19,3.6
Dec-19,3.6
Jan-20,3.5
Feb-20,3.5
Mar-20,4.4
Apr-20,14.8
May-20,13.3
Jun-20,11.1
Jul-20,10.2
Aug-20,8.4
Sep-20,7.8
Oct-20,6.9
Nov-20,6.7
Dec-20,6.7
Jan-21,6.3
Feb-21,6.2
Mar-21,6
Apr-21,6.1
May-21,5.8
Jun-21,5.9
Jul-21,5.4
